Via Roma 10, Roma, RM, 00100, Italia
Corso Italia 15, Milano, MI, 20121, Italia
Piazza del Duomo 5, Firenze, FI, 50122, Italia
Viale XX Settembre 8, Torino, TO, 10121, Italia
Via Garibaldi 20, Bologna, BO, 40122, Italia
Largo Vittorio Veneto 3, Napoli, NA, 80132, Italia
Piazza San Marco 12, Venezia, VE, 30124, Italia
Via Dante Alighieri 30, Palermo, PA, 90133, Italia
Corso Vittorio Emanuele II 25, Genova, GE, 16121, Italia
Via Giuseppe Verdi 18, Catania, CT, 95131, Italia
Via Mazzini 5, Verona, VR, 37121, Italia
Corso Umberto I 12, Trieste, TS, 34121, Italia
Piazza della Signoria 10, Firenze, FI, 50122, Italia
Viale dei Colli 20, Bergamo, BG, 24129, Italia
Via Nazionale 8, Roma, RM, 00184, Italia
Largo Santa Lucia 3, Bari, BA, 70121, Italia
Piazza Unità d'Italia 1, Trieste, TS, 34121, Italia
Via XX Settembre 15, Torino, TO, 10121, Italia
Corso Magenta 30, Milano, MI, 20123, Italia
Via dei Fori Imperiali 1, Roma, RM, 00184, Italia
Calle Gran Vía 10, Madrid, Madrid, 28013, Spagna
Avenida Diagonal 15, Barcellona, Catalogna, 08019, Spagna
Plaza Mayor 5, Salamanca, Castiglia e León, 37002, Spagna
Calle Serrano 20, Madrid, Madrid, 28001, Spagna
Paseo de Gracia 30, Barcellona, Catalogna, 08007, Spagna
Avenida de la Constitución 8, Siviglia, Andalusia, 41004, Spagna
Plaza de España 12, Valencia, Comunità Valenciana, 46013, Spagna
Calle Alcalá 25, Madrid, Madrid, 28014, Spagna
Avenida del Mar 18, Malaga, Andalusia, 29016, Spagna
Calle del Carmen 6, Granada, Andalusia, 18009, Spagna
12 Rue de la République, Parigi, Île-de-France, 75001, Francia
25 Avenue des Champs-Élysées, Parigi, Île-de-France, 75008, Francia
8 Place de la Bastille, Parigi, Île-de-France, 75011, Francia
16 Rue du Faubourg Saint-Honoré, Parigi, Île-de-France, 75008, Francia
5 Rue de Rivoli, Parigi, Île-de-France, 75004, Francia
10 Avenue de la Grande Armée, Parigi, Île-de-France, 75017, Francia
3 Rue de la Paix, Parigi, Île-de-France, 75002, Francia
18 Rue du Temple, Lione, Alvernia-Rodano-Alpi, 69002, Francia
7 Place de l'Opéra, Marsiglia, Provenza-Alpi-Costa Azzurra, 13001, Francia
2 Quai de la Megisserie, Tolosa, Occitania, 31000, Francia
Hauptstraße 10, Berlino, Berlino, 10115, Germania
Musterstraße 15, Monaco di Baviera, Baviera, 80331, Germania
Rathausplatz 5, Amburgo, Amburgo, 20095, Germania
Schlossallee 20, Francoforte sul Meno, Assia, 60313, Germania
Am Markt 8, Colonia, Renania Settentrionale-Vestfalia, 50667, Germania
Bahnhofstraße 30, Stoccarda, Baden-Württemberg, 70173, Germania
Lange Straße 12, Düsseldorf, Renania Settentrionale-Vestfalia, 40213, Germania
Friedrichstraße 25, Lipsia, Sassonia, 04109, Germania
Königsallee 18, Dortmund, Renania Settentrionale-Vestfalia, 44137, Germania
Marktplatz 6, Hannover, Bassa Sassonia, 30159, Germania
Hauptstrasse 10, Zurigo, Zurigo, 8001, Svizzera
Bahnhofplatz 15, Ginevra, Ginevra, 1201, Svizzera
Marktgasse 5, Berna, Berna, 3011, Svizzera
Musterweg 20, Basilea, Basilea Città, 4001, Svizzera
Rue du Lac 8, Losanna, Vaud, 1005, Svizzera
Via Piazza 30, Lugano, Ticino, 6900, Svizzera
Platz der Freiheit 12, San Gallo, San Gallo, 9000, Svizzera
Grossmattstrasse 25, Lucerna, Lucerna, 6004, Svizzera
Bergstrasse 18, Losone, Ticino, 6616, Svizzera
Alte Landstrasse 6, Winterthur, Zurigo, 8400, Svizzera
Rua do Carmo 10, Lisbona, Lisboa, 1200-092, Portogallo
Avenida da Liberdade 15, Porto, Porto, 4000-154, Portogallo
Travessa do Comércio 5, Coimbra, Coimbra, 3000-004, Portogallo
Rua das Flores 20, Braga, Braga, 4700-415, Portogallo
Largo do Pelourinho 8, Faro, Faro, 8000-118, Portogallo
Avenida dos Aliados 30, Porto, Porto, 4000-065, Portogallo
Rua Augusta 12, Lisbona, Lisboa, 1100-053, Portogallo
Avenida da Boavista 25, Porto, Porto, 4100-135, Portogallo
Rua de Santa Catarina 18, Porto, Porto, 4000-447, Portogallo
Travessa da Ribeira 6, Funchal, Madeira, 9000-075, Portogallo
